DealID,Company,InvestorFund,Deal Size Status,DealDate,DealType,DealType2,DealType3,DealSize,Post Valuation,DealSynopsis,DealStatus,Financing Status,Business Status,Investors,PrimaryIndustry,Verticals,Description,HQ Location,Company_norm,IsEntry,IsExit
171088-30T,Proofpoint,"Thoma Bravo Explore Fund(Thoma Bravo), Thoma Bravo Fund XIII(Thoma Bravo)",Actual,2021-08-31,Buyout/LBO,Public to Private,,12300.0,12300.0,"The company was acquired by Thoma Bravo through a $12.3 billion LBO on August 31, 2021 through a public-to-private transaction. The transaction was supported by $3.65 billion of debt financing.",Completed,Private Equity-Backed,Generating Revenue,Thoma Bravo(Seth Boro),Network Management Software,"Cybersecurity, SaaS, TMT","Developer of cybersecurity and compliance software intended for mid and large-sized organizations. The company's platform includes threat protection, incident response, regulatory compliance, archiving, governance, and other features, thus enabling its users to get protection on various channels including email, the web, the cloud, and social media.","Sunnyvale, CA",proofpoint,True,False
10233-10T,TelevisaUnivision,"Madison Dearborn Capital Partners III(Madison Dearborn Partners), Providence Equity Partners V(Providence Equity Partners), T3 Partners II(TPG), Thomas H. Lee Parallel Fund VI(Thomas H. Lee Partners)",Actual,2007-03-29,Buyout/LBO,Public to Private,,12300.0,12300.0,"The company was acquired through a $12.3 billion LBO on March, 29 2007. The transaction was supported by $10.2 billion of debt financing.",Completed,Private Equity-Backed,Profitable,"Carlyle AlpInvest, CPP Investments, Madison Dearborn Partners(Zaid Alsikafi), Pamlico Capital, Partners Group Global Opportunities, Patagonia Financial Holdings, Providence Equity Partners(Albert Dobron), Saban Capital Group(Adam Chesnoff), Shumway Capital, Stockwell Capital, Thomas H. Lee Partners, TPG (NAS: TPG)(David Bonderman), William And Lisa Ford Foundation","Broadcasting, Radio and Television",TMT,"Operator of a multimedia company intended to create content for the Hispanic and Latino American communities. The company entertains, informs and empowers with news, sports and entertainment across broadcast and cable television, audio, digital and streaming platforms, enabling people to get a broad spectrum of Spanish-language content across the United States.","Miami, FL",televisaunivision,True,False
138754-90T,Cotality,"Ares Capital Europe V(Ares Management), Cohesive Capital Partners III(Cohesive Capital Partners), Norwest Venture Partners XVI(Norwest), Serent Capital III(Serent Capital), Trident VIII(Stone Point Capital)",Actual,2021-06-04,Buyout/LBO,Public to Private,,12000.0,12000.0,"The company was acquired by Stone Point Capital, Serent Capital, Blum Capital Partners, Cohesive Capital Partners, Insight Partners, Norwest Venture Partners and Ares Management through a $12 billion public-to-private LBO on June 4, 2021. The transaction was supported by $6 billion of debt financing.",Completed,Private Equity-Backed,Profitable,"Ares Management (NYS: ARES), Blum Capital Partners, Cohesive Capital Partners, Insight Partners (New York), Norwest, Serent Capital, Stone Point Capital(Charles Davis)",Other Commercial Services,Real Estate Technology,"Provider of property insights and services intended to serve real estate professionals, financial institutions, insurance carriers, government agencies and other housing market participants. The company offers data and analytics for the real estate sector, a database of property and mortgage information, judgments and liens, building and replacement costs and parcel and geospatial data, thereby helping clients with find, buy and protect their homes.","Irvine, CA",cotality,True,False
158161-51T,Dunkin' Brands,Roark Capital Partners II Sidecar(Roark Capital Group),Actual,2020-12-15,Buyout/LBO,Add-on,Public to Private,11300.0,11300.0,"The company was acquired by Inspire Brands, via its financial sponsors Roark Capital Group, Sugarloaf Rock Capital and Equicorp Partners for $11.3 billion public-to-private LBO on December 15, 2020. Inspire Brands also assumed an estimated $2.54 billion in liabilities. As a result of the transaction, the company was delisted.",Completed,Private Equity-Backed,Generating Revenue,"Equicorp Partners, Inspire Brands(Paul Brown), Roark Capital Group(Neal Aronson), Sugarloaf Rock Capital",Restaurants and Bars,,"Operator of a chain of a quick-service restaurant based in Canton, Massachusetts. The company offers hot and cold coffee and baked goods, as well as hard-serve ice cream, thereby providing the required product.","Canton, MA",dunkin' brands,True,False
190747-36T,Switch (Systems and Information Management),DigitalBridge Partners II(DigitalBridge Group),Actual,2022-12-06,Buyout/LBO,Public to Private,,11000.0,11000.0,"The company was acquired by IFM Investors and DigitalBridge Group through a $11 billion public-to-private LBO on December 6, 2022. The transaction was supported by $6.8 billion of debt financing.",Completed,Private Equity-Backed,Generating Revenue,"DigitalBridge Group (NYS: DBRG)(Marc Ganzi), IFM Investors(Kyle Mangini)",Systems and Information Management,"SaaS, TMT",Developer and operator of data center ecosystems designed to provide intelligent and sustainable growth of the internet. The company offers telecommunications and exascale data center ecosystems.,"Las Vegas, NV",switch (systems and information management),True,False
190577-35T,Anaplan,,Estimated,2022-06-21,Buyout/LBO,Public to Private,,10400.0,10400.0,"The company was acquired by Ares Capital, Thoma Bravo and Pantheon International through a estimated $10.4 billion public-to-private LBO on June 21, 2022. The transaction was supported by $3.07 billion of debt financing.",Completed,Private Equity-Backed,Generating Revenue,"Pantheon International (LON: PIN), Thoma Bravo(Holden Spaht)",Business/Productivity Software,SaaS,"Developer of a cloud-based modeling and planning platform designed for the finance, sales, supply chain, human resource and marketing sectors of the organization. The company's platform offers cloud-based business planning and performance management based on a single hub where business users can create and use models, also provides professional services, including consulting, implementation and training, enabling clients to empower their decision-making by connecting data and enhancing collaboration.","Miami, FL",anaplan,True,False
196815-70T,Zendesk,"Blue Owl Credit Income Corp. BDC(Blue Owl Capital), Blue Owl Technology Finance Corp. II(Blue Owl Capital), Golub Capital BDC(Golub Capital), Golub Capital BDC 3(Golub Capital), Permira VIII(Permira)",Actual,2022-11-22,Buyout/LBO,Public to Private,,10200.0,10200.0,"The company was acquired by Permira, Hellman & Friedman, Golub Capital, GIC Private, Abu Dhabi Investment Authority, Blue Owl Capital through a $10.2 billion public-to-private LBO on November 22, 2022. The transaction was supported by $4.98 billion of debt financing.",Completed,Private Equity-Backed,Generating Revenue,"Abu Dhabi Investment Authority, Blue Owl Capital (NYS: OWL), GIC Private, Golub Capital, Hellman & Friedman(Stephen Ensley), Permira(Ryan Lanpher)",Business/Productivity Software,SaaS,"Developer of a cloud-based customer service software designed to offer unified customer communication and improve customer relationships. The company's software unifies customer communication and data across various channels and business units and simplifies customer service and engagement across self-service, phone, chat, messaging, and email.","San Francisco, CA",zendesk,True,False
183480-67T,CoreSite Realty,,Actual,2021-12-28,Buyout/LBO,Public to Private,,10100.0,10100.0,"The company was acquired by American Tower through a $10.1 billion LBO on December 28, 2021 through a public-to-private transaction. The transaction helps American Tower to be well-positioned to address evolving customer needs through an enhanced value proposition for network and cloud providers, service integrators and enterprise customers",Completed,Private Equity-Backed,Profitable,American Tower (NYS: AMT)(Thomas Bartlett),Systems and Information Management,TMT,"Provider of data center services focused on cloud access and interconnection systems. The company offers cloud networking, open cloud exchange, interconnect gateway, interconnections and cross-connect, thereby enabling customers to build customized hybrid information technology infrastructure and accelerate digital transformation.","Denver, CO",coresite realty,True,False
256443-67T,AIR Communities,Blackstone Real Estate Partners X(Blackstone),Actual,2024-06-28,Buyout/LBO,Public to Private,,10000.0,10000.0,"The company was acquired by Blackstone through a $10 billion public-to-private LBO on June 28, 2024. The transaction was supported by an undisclosed amount of debt financing.",Completed,Private Equity-Backed,Profitable,Blackstone (NYS: BX)(Nadeem Meghji),Real Estate Investment Trusts (REITs),,"Apartment Income REIT Corp owns a portfolio of apartment community units. The company focuses on owning large, high-quality properties in the urban and suburban submarkets of Boston, Denver, Los Angeles, Miami, Philadelphia, San Diego, San Francisco, and Washington, D.C.","Denver, CO",air communities,True,False
173590-66T,QTS Realty Trust,"Blackstone Infrastructure Partners(Blackstone), Blackstone Property Partners(Blackstone)",Estimated,2021-08-31,Buyout/LBO,Public to Private,,10000.0,10000.0,"The company was acquired by Blackstone and Blackstone Real Estate Income Trust through an estimated $10 billion public-to-private LBO on August 31, 2021.",Completed,Private Equity-Backed,Profitable,"Blackstone (NYS: BX)(Tyler Henritze), Blackstone Real Estate Income Trust",Systems and Information Management,"SaaS, TMT","Operator and provider of compliant data center services intended to serve enterprises. The company provides data center solutions and cloud-managed services, cumulatively, contributing the majority of its total revenue. In each of these, tenants with the services and rental space necessary to house, power, and cool their networking equipment and computer systems, enabling clients in leading hyperscale technology companies, enterprises and government entities.","Sterling, VA",qts realty trust,True,False
97271-11T,Envision Healthcare,KKR Americas Fund XII(Kohlberg Kravis Roberts),Actual,2018-10-11,Buyout/LBO,Secondary Buyout,Public to Private,9900.0,9900.0,"The company was acquired by Kohlberg Kravis Roberts through a $9.9 billion public-to-private LBO on October 11, 2018. The transaction was supported by $7.5 billion of debt financing.",Completed,Private Equity-Backed,Profitable,Kohlberg Kravis Roberts (NYS: KKR)(James Momtazee),Other Healthcare Services,,"Provider of physician and clinical professional services intended for the better care of patients. The company's services include home health services, ambulatory surgery solutions, clinical solutions, post-acute patient care, health management, and several other related services, enabling patients to improve their experience and reduce healthcare costs.","Nashville, TN",envision healthcare,True,False
118938-52T,Buckeye Partners,IFM Global Infrastructure Fund(IFM Investors),,2019-10-01,Buyout/LBO,Public to Private,,9850.0,9850.0,The company was acquired by IFM Investors through a $9.85 billion public-to-private LBO in October 2019. The transaction was supported by $3.35 billion of debt financing.,Completed,Private Equity-Backed,Generating Revenue,IFM Investors(Julio Garcia),Energy Transportation,Oil & Gas,"Operator of a diversified global network of integrated assets providing midstream logistic services. The company's services include transportation, storage, processing and marketing of liquid petroleum products, also offering services to operate and maintain third-party pipelines and perform certain engineering and construction services, enabling clients to meet the changing energy of their customers.","Houston, TX",buckeye partners,True,False
293963-68T,Skechers USA (NYS: SKX),,,2025-07-14,Buyout/LBO,Public to Private,,9400.0,9400.0,"The company entered into a definitive agreement to be acquired by 3G Capital through a $9.4 billion public-to-private LBO on July 14, 2025. The transaction was supported by $8.44 billion of debt financing. As a result of the transaction company will be delisted.",Announced/In Progress,Corporation,Generating Revenue,3G Capital(Alexandre Behring),Footwear,,"Skechers USA Inc is a lifestyle footwear company under the Skechers GO brand name. Products offered include various styles of women's shoes, men's shoes, girl's shoes, boy's shoes, performance shoes, and work shoes. Allied products offered are apparel, bags, eyewear, toys, and more. Its products are available for sale at department and specialty stores, athletic and independent retailers, boutiques, and internet retailers. The company's operating segments includes Wholesale and Direct-to-Consumer. It generates maximum revenue from the Wholesale segment.","Manhattan Beach, CA",skechers usa (nys: skx),True,False
163929-70T,RealPage,,Actual,2021-04-22,Buyout/LBO,Public to Private,,9287.09,9287.09,"The company was acquired by Thoma Bravo through a $10.2 billion public-to-private LBO on April 22, 2021. The transaction was supported by $4.08 billion of debt financing.",Completed,Private Equity-Backed,Generating Revenue,Thoma Bravo(Orlando Bravo),Business/Productivity Software,"Real Estate Technology, TMT","Developer of multifamily property management and data analytics software intended for companies in the real estate industry. The company's platform hosts applications that help property owners and managers improve pricing methodologies and collections and integrate business processes, ensuring professionals gain transparency in asset performance, leverage data insights and monetize space to create enhanced yields efficiently.","Richardson, TX",realpage,True,False
29304-46T,Safeway,Cerberus Institutional Real Estate Partners III(Cerberus Capital Management),Actual,2015-01-30,Buyout/LBO,Add-on,Public to Private,9200.0,9200.0,"The company (NYSE: SWY) was acquired by Albertsons, via its financial sponsors Cerberus Capital Management through a $9.2 billion public-to-private LBO on January 30, 2015.",Completed,Private Equity-Backed,Profitable,"Albertsons Companies (NYS: ACI), Cerberus Capital Management(Lenard Tessler)",Department Stores,,Operator of supermarket retail chain intended to serve across the United States. The company operates a portfolio of online websites offering grocery products.,"Pleasantion, CA",safeway,True,False
122642-38T,Tallgrass Energy,"Blackstone Distressed Debt Fund III(Blackstone), NPS-SBI Pan-Asia Fund(National Pension Service)",Estimated,2020-04-17,Buyout/LBO,Public to Private,,9150.0,16397.85,"The company was acquired by Enagás, Blackstone, GIC, National Pension Service and Universities Superannuation Scheme through an estimated $9.15 billion public-to-private LBO on April 17, 2020. The transaction was supported by $2.85 billion of debt financing. In a separate statement, Enagas said it has agreed to invest $836 million in the U.S. natural gas and crude pipeline operator as part of a takeover involving other investors.",Completed,Private Equity-Backed,Generating Revenue,"Blackstone (NYS: BX)(Wallace Henderson), Enagás (MAD: ENG), GIC Private, National Pension Service, Universities Superannuation Scheme",Energy Transportation,Oil & Gas,"Provider of oil and gas transportation and processing services based in Lakewood, Colorado. The company owns and operates permanent water infrastructure and provides clients with sustainable services, thereby helping transport crude oil and other minerals as well as deliver, source, store, gather, recycle, and dispose of water.","Lakewood, CO",tallgrass energy,True,False
35984-98T,PetSmart,"ATP Private Equity Partners V(ATP Private Equity Partners), AXA LBO Fund V(Ardian), BC European Capital IX(BC Partners), Russia-Korea Investment Fund(Korea Investment Corporation), Singapore Early Stage Co-Investment Fund(GIC Private), Sodemex Developpement Fund(Caisse de dépôt et placement du Québec), StepStone Atlantic Fund(StepStone Group), Weston Presidio Capital V(Weston Presidio)",Actual,2015-02-18,Buyout/LBO,Public to Private,,8788.36,8788.36,"The company was acquired through a $8.79 billion LBO on February, 18 2015. The transaction was supported by $8.85 billion of debt financing.",Completed,Private Equity-Backed,Profitable,"ACE & Company (Geneva), Ardian, ATP Private Equity Partners, BC Partners(Raymond Svider), Caisse de dépôt et placement du Québec, GIC Private, ICG Enterprise Trust, Korea Investment Corporation, Longview Asset Management(James Eaton), StepStone Group (NAS: STEP), Weston Presidio",Specialty Retail,,"Retailer of supplies intended for pets based in Phoenix, Arizona. The company offers food and accessories from a wide range of brands through its online and physical stores as well as provides grooming, training, and adoption services, enabling clients to keep their pets healthy and happy.","Phoenix, AZ",petsmart,True,False
199166-59T,Avalara,,Actual,2022-10-18,Buyout/LBO,Public to Private,,8400.0,8400.0,"The company was acquired by Vista Equity Partners through an $8.4 billion public-to-private LBO on October 18, 2022. The transaction was supported by $2.75 billion of debt financing. Through this investment, the company will become the global cloud compliance platform and provide value to its customers and partners.",Completed,Private Equity-Backed,Generating Revenue,Vista Equity Partners(Adrian Alonso),Financial Software,"FinTech, SaaS","Developer of automated tax compliance software designed for retail, manufacturing, accounting professionals, supply chain and logistics as well as communications industries. The company offers a broad and growing suite of compliance solutions for transaction taxes, such as sales and use tax, VAT, fuel excise tax, beverage alcohol, cross-border taxes, lodging tax, and communications tax, enabling customers to automate the process of determining taxability, identifying applicable tax rates, determining and collecting taxes, preparing and filing returns, remitting taxes, maintaining tax records, and managing compliance documents. It generates revenue in the form of subscriptions and professional services.","Durham, NC",avalara,True,False
117254-62T,Genesee & Wyoming,,Actual,2019-12-30,Buyout/LBO,Public to Private,,8400.0,8400.0,"The company was acquired by GIC and Brookfield Corporation for a $8.4 billion LBO on December 30, 2019 through a public-to-private transaction. The transaction was supported by of $31.5 million debt financing.",Completed,Private Equity-Backed,Profitable,"Brookfield Corporation (TSE: BN)(Frederick Day), GIC Private(Helen Newell)",Rail,Industrials,"Operator of a short line railroad holding company intended to serve with rail transportation of goods across Darien, Connecticut. The company owns and leases freight railroads worldwide organized in locally managed operating regions, provides rail and transload services, contract coal loading as well as industrial railcar switching and repair, enabling clients to facilitate goods distribution.","Darien, CT",genesee & wyoming,True,False
267425-38T,Smartsheet,"Blackstone Capital Partners IX(Blackstone), Vista Equity Partners Fund VIII(Vista Equity Partners)",Actual,2025-01-21,Buyout/LBO,Public to Private,,8400.0,8851.42,"The company was acquired by Blackstone, Abu Dhabi Investment Authority and Vista Equity Partners through a $8.4 billion LBO on January 21, 2025. The transaction was supported by $3.2 billion of debt financing.",Completed,Private Equity-Backed,Generating Revenue/Not Profitable,"Abu Dhabi Investment Authority, Blackstone (NYS: BX)(Sachin Bavishi), Vista Equity Partners(John Stalder)",Business/Productivity Software,"CloudTech & DevOps, SaaS, TMT","Smartsheet is a provider of collaborative work management software delivered via a cloud-based, software-as-a-service model. The firm's solution offers scalable, dynamic tools to improve the efficiency of project and process management across countless use cases. Smartsheet's offering supports workflow management across teams, provides real-time visibility into projects, and reporting and automation capabilities. The firm generates revenue via software subscriptions on a per-user basis, and incremental charges for added platform capabilities.","Bellevue, WA",smartsheet,True,False
