Company,EntryDate,ExitDate,HoldingYears,PairingNotes,Entry_DealType,Entry_DealType2,Entry_DealType3,Entry_DealSize,Entry_Sponsor,Exit_DealType,Exit_DealType2,Exit_DealType3,Exit_DealSize,Exit_Sponsor,EntryYear,ExitYear,HP_Category,DealSizeBucket
cannondale bicycle,2003-05-05,2021-10-11,18.43668720054757,SingleEntryMultipleExits,buyout/lbo,,,57.8,pegasus capital advisors(david uri),merger/acquisition,corporate divestiture,,,koninklijke gazelle,2003,2021,Long (>7y),missing
casella waste systems (tire recycling),2001-09-18,2017-09-01,15.953456536618754,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,13.0,tpg angelo gordon,merger/acquisition,,,,,2001,2017,Long (>7y),missing
cdc software (atlanta),2012-04-12,2012-08-07,0.3203285420944558,SingleEntrySingleExit,buyout/lbo,,,249.46,vista equity partners(marc teillon),merger of equals,,,,aptean,2012,2012,Short (<2y),missing
clark brands,2003-12-01,2022-12-01,19.000684462696782,SingleEntrySingleExit,buyout/lbo,management buyout,secondary buyout,23.4,waveland investments(meghan otis),merger/acquisition,,,,,2003,2022,Long (>7y),missing
clear secure (nys: you),2021-02-08,2021-06-30,0.3887748117727584,SingleEntryMultipleExits,pe growth/expansion,,,100.0,"32 equity, bond capital (san francisco), durable capital partners, enlightened hospitality investments, general atlantic, jump dc, liberty media (nas: fwona), liontree partners, partnership fund for new york city(maria gotsch), revolution (washington dc)",ipo,,,409.2,,2021,2021,Short (<2y),Q3
collective audience (pinx: caud),2023-08-01,2023-11-02,0.2546201232032854,SingleEntryMultipleExits,buyout/lbo,,,0.25,ben jen holdings,reverse merger,,,,abri spac i(jeffrey tirman),2023,2023,Short (<2y),missing
color spot nurseries,2018-08-17,2018-12-21,0.34496919917864477,MultipleEntriesSingleExit,buyout/lbo,,,74.0,wells fargo (nys: wfc)(deborah cimini),merger/acquisition,,,,altman plants,2018,2018,Short (<2y),missing
comprehensive health services,2018-03-22,2018-08-14,0.39698836413415467,SingleEntrySingleExit,buyout/lbo,,,131.4,dc capital partners(jerry chernock),merger/acquisition,,,,acuity international(james van dusen),2018,2018,Short (<2y),missing
compusa,2007-12-07,2008-01-07,0.08487337440109514,SingleEntryMultipleExits,buyout/lbo,,,,"austin ventures, gordon brothers",merger/acquisition,,,18.9,global industrial (nys: gic),2007,2008,Short (<2y),Q1 (small)
concentra (nys: con),1999-03-22,2015-06-01,16.194387405886378,SingleEntryMultipleExits,buyout/lbo,secondary buyout,public to private,1100.0,"ferrer freeman & company, the goldman sachs group (nys: gs), welsh, carson, anderson & stowe(thomas scully)",merger/acquisition,,,1047.2,"cressey & company, select medical holdings (nys: sem), welsh, carson, anderson & stowe",1999,2015,Long (>7y),Q4 (large)
concentra (nys: con),1999-03-22,2018-01-26,18.850102669404517,SingleEntryMultipleExits,buyout/lbo,secondary buyout,public to private,1100.0,"ferrer freeman & company, the goldman sachs group (nys: gs), welsh, carson, anderson & stowe(thomas scully)",merger/acquisition,,,1489.0,,1999,2018,Long (>7y),Q4 (large)
concentra (nys: con),1999-03-22,2024-07-25,25.34428473648186,SingleEntryMultipleExits,buyout/lbo,secondary buyout,public to private,1100.0,"ferrer freeman & company, the goldman sachs group (nys: gs), welsh, carson, anderson & stowe(thomas scully)",ipo,,,528.75,,1999,2024,Long (>7y),Q3
concorde career colleges,2006-09-01,2022-12-01,16.249144421629023,SingleEntrySingleExit,buyout/lbo,public to private,,114.5,liberty partners(yvonne marsh),merger/acquisition,,,50.0,universal technical institute (nys: uti)(jerome grant),2006,2022,Long (>7y),Q1 (small)
connecticare,2001-06-01,2025-02-01,23.67145790554415,SingleEntryMultipleExits,buyout/lbo,recapitalization,,150.0,"cb health ventures, liberty partners, the carlyle group (nas: cg)",merger/acquisition,corporate divestiture,,350.0,molina healthcare (nys: moh)(joseph zubretsky),2001,2025,Long (>7y),Q3
connector resources unlimited,2002-12-11,2021-02-01,18.143737166324435,SingleEntrySingleExit,buyout/lbo,management buy-in,corporate divestiture,1.5,crown point partners,merger/acquisition,,,,,2002,2021,Long (>7y),missing
consona (mtms),2012-08-06,2012-08-07,0.0027378507871321013,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,add-on,,"cdc software (atlanta), rotunda capital partners, vista equity partners(marc teillon)",merger of equals,,,,aptean,2012,2012,Short (<2y),missing
continental building products,2013-08-30,2014-02-05,0.4353182751540041,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,700.0,lone star funds(grant wilbeck),ipo,,,164.71,,2013,2014,Short (<2y),Q2
corner bakery cafe,2006-02-02,2023-06-08,17.34428473648186,SingleEntryMultipleExits,buyout/lbo,add-on,corporate divestiture,,"bruckmann, rosser, sherrill & company, il fornaio(michael hislop), roark capital group",merger/acquisition,,,15.0,sscp management,2006,2023,Long (>7y),Q1 (small)
cortek,2005-09-09,2022-04-04,16.566735112936346,SingleEntryMultipleExits,buyout/lbo,add-on,,7.85,"atec spine (nas: atec)(john foster), healthpointcapital(john foster)",merger/acquisition,corporate divestiture,,,em key solutions(michael snyder),2005,2022,Long (>7y),missing
cost center,2018-03-22,2018-08-14,0.39698836413415467,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,32.5,dc capital partners(jerry chernock),merger/acquisition,,,,acuity international(james van dusen),2018,2018,Short (<2y),missing
cryopdp,2020-07-30,2020-10-01,0.17248459958932238,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,hivest capital partners,merger/acquisition,,,57.74,cryoport (nas: cyrx)(jerrell shelton),2020,2020,Short (<2y),Q1 (small)
deltak,1990-05-03,2011-08-31,21.32785763175907,SingleEntrySingleExit,buyout/lbo,public to private,,18.0,"goldner hawn, mh equity investors",merger/acquisition,corporate divestiture,,31.0,hamon & cie international,1990,2011,Long (>7y),Q1 (small)
designatronics,1995-09-01,2015-09-01,20.0,SingleEntrySingleExit,buyout/lbo,public to private,,17.91,"dyson, dyson & dunn",merger/acquisition,,,,,1995,2015,Long (>7y),missing
digital insight,2013-08-01,2014-01-10,0.44353182751540043,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,1065.0,thoma bravo(orlando bravo),merger/acquisition,,,1648.0,ncr voyix (nys: vyx)(mark satisky),2013,2014,Short (<2y),Q4 (large)
direct auto insurance,2007-03-30,2025-07-01,18.255989048596852,SingleEntryMultipleExits,buyout/lbo,public to private,,432.39,"calera capital(mark williamson), the family office company, tpg (nas: tpg)(marshall haines), twin bridge capital partners",merger/acquisition,corporate divestiture,,,nationwide life insurance company,2007,2025,Long (>7y),missing
discover magazine,2005-11-21,2024-11-08,18.965092402464066,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,20.0,"sandler capital management, wallersutton 2000",merger/acquisition,corporate divestiture,,,labx media group(bob kafato),2005,2024,Long (>7y),missing
douglas elliman (new york) (nys: doug),2003-03-17,2021-12-30,18.78986995208761,SingleEntrySingleExit,buyout/lbo,,,71.75,"new valley(howard lorber), prudential financial (nys: pru)",ipo,spin-off,,,,2003,2021,Long (>7y),missing
driveline retail merchandising,2004-07-01,2022-02-28,17.661875427789184,SingleEntrySingleExit,buyout/lbo,,,56.0,lake capital(paul yovovich),merger/acquisition,,,,,2004,2022,Long (>7y),missing
dyncorp international,1988-01-01,2003-03-07,15.178644763860369,MultipleEntriesMultipleExits,buyout/lbo,public to private,management buyout,,capricorn holdings,merger/acquisition,,,950.0,computer sciences( it consulting and outsourcing),1988,2003,Long (>7y),Q4 (large)
eoir technologies,2016-06-24,2016-11-14,0.3915126625598905,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,,27.5,arlington capital partners(michael lustbader),merger/acquisition,,,,polaris alpha(peter cannito),2016,2016,Short (<2y),missing
epsilon data management,2001-11-19,2019-07-01,17.61259411362081,SingleEntryMultipleExits,buyout/lbo,secondary buyout,add-on,67.0,"the carlyle group (nas: cg), the relizon company(rodney hedeen)",merger/acquisition,corporate divestiture,,4451.0,publicis groupe (par: pub)(maurice levy),2001,2019,Long (>7y),Q4 (large)
exco resources (pinx: exce),2005-10-03,2006-02-08,0.35044490075290896,MultipleEntriesSingleExit,buyout/lbo,management buyout,secondary buyout,699.3,bear growth capital partners,ipo,,,650.0,,2005,2006,Short (<2y),Q3
eyp mission critical facilities,2001-05-15,2022-01-31,20.71457905544148,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,ta associates management(michael wilson),merger/acquisition,corporate divestiture,,15.21,ramboll group(michael simmelsgaard),2001,2022,Long (>7y),Q1 (small)
fairchild imaging,2001-05-07,2024-11-05,23.498973305954827,SingleEntryMultipleExits,buyout/lbo,,,,the carlyle group (nas: cg),merger/acquisition,corporate divestiture,,,hamamatsu photonics (tks: 6965),2001,2024,Long (>7y),missing
ferrara candy company,2002-02-20,2017-12-01,15.7782340862423,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,50.0,l catterton(michael chu),merger/acquisition,,,1200.0,ferrero international(giovanni ferrero),2002,2017,Long (>7y),Q4 (large)
first republic bank (national banks) (pinx: frcb),2010-06-30,2010-12-09,0.44353182751540043,SingleEntryMultipleExits,buyout/lbo,management buyout,corporate divestiture,1860.0,"calera capital, colony capital(thomas harrison), general atlantic(william ford), gi partners, kortschak investments, sequoia capital",ipo,,,280.5,,2010,2010,Short (<2y),Q2
firstlogic,2006-04-03,2006-07-20,0.29568788501026694,SingleEntrySingleExit,buyout/lbo,add-on,,69.0,"august capital, business objects, ccmp capital advisors, integral capital partners, silver lake, the goldman sachs group (nys: gs), tpg (nas: tpg)",merger/acquisition,corporate divestiture,,,bull (it consulting and outsourcing),2006,2006,Short (<2y),missing
foundation coal,2004-08-04,2004-12-08,0.34496919917864477,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,967.0,"amci group, blackstone (nys: bx)(stephen schwarzman), first reserve(william macaulay)",ipo,,,519.42,,2004,2004,Short (<2y),Q3
gener8 maritime,2015-05-07,2015-06-25,0.13415468856947296,SingleEntryMultipleExits,buyout/lbo,secondary buyout,public to private,1450.0,"assured investment management(ethan auerbach), aurora resurgence, blackrock private equity partners, brookfield oaktree holdings(adam pierce), general maritime(peter georgiopoulos), monarch alternative capital(roger schmitz)",ipo,,,210.0,,2015,2015,Short (<2y),Q2
genscape,2003-08-04,2019-11-05,16.254620123203285,SingleEntryMultipleExits,buyout/lbo,,,,"brookfield oaktree holdings, gfi energy group(richard landers)",merger/acquisition,corporate divestiture,,353.2,wood mackenzie(neal anderson),2003,2019,Long (>7y),Q3
glenwood regional medical center,2007-01-31,2024-07-20,17.467488021902806,SingleEntrySingleExit,buyout/lbo,add-on,corporate divestiture,82.5,"carlyle alpinvest, iasis healthcare(david white), jll partners, the halifax group(david dupree), tpg (nas: tpg)(jonathan coslet), trimaran capital partners, windrose health investors",merger/acquisition,corporate divestiture,,,american healthcare systems,2007,2024,Long (>7y),missing
global indemnity group (nys: gbli),2003-09-10,2003-12-16,0.2655715263518138,SingleEntrySingleExit,buyout/lbo,secondary buyout,,240.0,"fox paine(saul fox), paine schwartz partners(saul fox)",ipo,,,165.75,,2003,2003,Short (<2y),Q2
global traffic technologies,2007-06-28,2023-04-14,15.794661190965092,SingleEntryMultipleExits,buyout/lbo,management buyout,corporate divestiture,,torquest partners,merger/acquisition,corporate divestiture,,107.65,miovision(kurtis mcbride),2007,2023,Long (>7y),Q2
gold's gym,2004-07-21,2020-07-30,16.024640657084188,SingleEntrySingleExit,buyout/lbo,secondary buyout,,158.0,trt holdings(terrell philen),merger/acquisition,,,100.0,rsg group(rainer schaller),2004,2020,Long (>7y),Q2
great western petroleum,2005-01-01,2022-05-06,17.34154688569473,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,the broe group,merger/acquisition,,,1430.0,pdc energy(brad bonsalle),2005,2022,Long (>7y),Q4 (large)
greene's energy group,2006-11-01,2022-03-01,15.329226557152635,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,,denham capital management(james cunningham),merger/acquisition,,,,,2006,2022,Long (>7y),missing
greene's energy group,2006-11-01,2023-03-08,16.347707049965777,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,,denham capital management(james cunningham),merger/acquisition,,,34.0,klx energy services holdings (nas: klxe)(christopher baker),2006,2023,Long (>7y),Q1 (small)
hart energy,2004-04-01,2025-02-10,20.862422997946613,MultipleEntriesMultipleExits,buyout/lbo,management buyout,corporate divestiture,,"compass partners capital, wiegers capital management(george wiegers)",merger/acquisition,,,,crain communications(kc crain),2004,2025,Long (>7y),missing
hcc industries,1989-10-24,2005-10-10,15.961670088980151,SingleEntrySingleExit,buyout/lbo,public to private,management buyout,11.0,,merger/acquisition,distressed acquisition,,162.0,ametek (nys: ame)(frank hermance),1989,2005,Long (>7y),Q2
hertz (nas: htz),2005-12-21,2021-07-01,15.526351813826146,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,,15000.0,"clayton, dubilier & rice(david wasserman), north cove partners, the carlyle group (nas: cg), w capital partners",ipo,,,,,2005,2021,Long (>7y),missing
hg holdings (pinx: stly),1989-01-18,2018-03-02,29.117043121149898,SingleEntrySingleExit,buyout/lbo,secondary buyout,public to private,45.3,thomas h. lee partners,merger/acquisition,,,18.4,churchill downs llc,1989,2018,Long (>7y),Q1 (small)
hibbett sports,1995-01-01,2024-04-27,29.319644079397673,SingleEntrySingleExit,buyout/lbo,public to private,,50.0,parallel investment partners(barron fletcher),merger/acquisition,,,1077.0,jd sports fashion (lon: jd.)(regis schultz),1995,2024,Long (>7y),Q4 (large)
homebanc,2000-05-24,2018-05-01,17.935660506502394,SingleEntryMultipleExits,buyout/lbo,management buyout,corporate divestiture,100.0,gtcr,merger/acquisition,,,112.65,first citizens bancshares (nas: fcnca)(frank holding),2000,2018,Long (>7y),Q2
hoover treated wood products,2002-04-03,2017-04-03,15.000684462696784,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,20.0,alpha capital partners,merger/acquisition,,,206.8,graham holdings (nys: ghc)(timothy o'shaughnessy),2002,2017,Long (>7y),Q2
hotwell services,2009-09-01,2010-03-01,0.49555099247091033,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,2.5,,merger/acquisition,,,,capital city energy group(timothy crawford),2009,2010,Short (<2y),missing
identifix,2013-07-25,2013-11-15,0.30937713894592744,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"welsh, carson, anderson & stowe",merger/acquisition,,,289.0,solera holdings(tony aquila),2013,2013,Short (<2y),Q2
identrust,2013-09-25,2014-01-17,0.31211498973305957,SingleEntryMultipleExits,buyout/lbo,,,,"parallax capital partners, stepstone group (nas: step)",merger/acquisition,,,,hid global(denis hebert),2013,2014,Short (<2y),missing
imperial group (portland),2013-08-01,2013-10-01,0.16700889801505817,SingleEntrySingleExit,buyout/lbo,management buyout,corporate divestiture,32.5,"bmo capital markets, wynnchurch capital(john hatherly)",merger of equals,,,,ironform,2013,2013,Short (<2y),missing
insurance auto auctions,2005-05-25,2023-03-20,17.817932922655714,SingleEntryMultipleExits,buyout/lbo,secondary buyout,add-on,356.1,"fairmont capital(robert kenmore), kelso & company(michael goldberg), monument capital partners(donald kuratko), openlane (media and information services (b2b)) (nys: kar)(brian clingen), parthenon capital partners(david ament), valueact capital management",merger/acquisition,,,6600.0,rb global (tse: rba),2005,2023,Long (>7y),Q4 (large)
inteva products,2008-03-10,2024-06-01,16.227241615331966,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,106.0,the renco group,merger/acquisition,,,,,2008,2024,Long (>7y),missing
jostens,2000-05-10,2015-11-02,15.4798083504449,SingleEntrySingleExit,buyout/lbo,public to private,,950.0,"investcorp, midocean partners, pamlico capital",merger/acquisition,,,1500.0,jarden (industrial supplies and parts)(james lillie),2000,2015,Long (>7y),Q4 (large)
jtech an hme company,2000-02-25,2023-02-01,22.934976043805612,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,,sun capital partners(rodger krouse),merger/acquisition,corporate divestiture,,,hm electronics,2000,2023,Long (>7y),missing
kennametal stellite,2006-03-01,2025-06-06,19.266255989048595,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,,208.9,duke street(john harper),merger/acquisition,corporate divestiture,,19.0,,2006,2025,Long (>7y),Q1 (small)
kester,2004-02-20,2019-12-02,15.780971937029431,SingleEntryMultipleExits,buyout/lbo,,,60.0,"american capital(ira wagner), lgt european capital",merger/acquisition,corporate divestiture,,68.0,element solutions (specialty chemicals) (nys: esi)(benjamin gliklich),2004,2019,Long (>7y),Q1 (small)
knape & vogt manufacturing,2006-07-28,2024-02-01,17.51403148528405,SingleEntrySingleExit,buyout/lbo,public to private,,133.24,wind point partners(robert cummings),merger/acquisition,,,,,2006,2024,Long (>7y),missing
knoll,1999-01-01,2021-07-19,22.546201232032853,SingleEntryMultipleExits,buyout/lbo,public to private,,538.3,warburg pincus,merger/acquisition,,,1887.3,millerknoll (nas: mlkn)(andrea owen),1999,2021,Long (>7y),Q4 (large)
kraton,2003-12-24,2022-03-14,18.220396988364133,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,,770.0,"ccmp capital advisors(timothy walsh), tpg (nas: tpg)(kelvin davis)",merger/acquisition,,,,dl chemical,2003,2022,Long (>7y),missing
la madeleine de corps,2001-12-17,2002-01-01,0.04106776180698152,SingleEntrySingleExit,buyout/lbo,,,60.0,cadigan investment partners(pericles navab),merger/acquisition,,,,groupe le duff(louis le duff),2001,2002,Short (<2y),missing
la quinta (irving),2006-01-25,2024-03-08,18.116358658453116,SingleEntryMultipleExits,buyout/lbo,public to private,,2280.0,blackstone (nys: bx)(jonathan gray),merger/acquisition,corporate divestiture,,,jamp hotels,2006,2024,Long (>7y),missing
landmark theaters,2001-05-01,2018-12-04,17.593429158110883,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,40.0,brookfield oaktree holdings,merger/acquisition,corporate divestiture,,,cohen media group(charles cohen),2001,2018,Long (>7y),missing
level propane gases,2003-07-03,2003-10-01,0.2464065708418891,SingleEntrySingleExit,buyout/lbo,secondary buyout,,24.8,union partners,merger/acquisition,,,31.7,amerigas propane,2003,2003,Short (<2y),Q1 (small)
levolux,2022-08-26,2022-11-21,0.23819301848049282,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,rcapital partners,merger/acquisition,,,,maple sunscreening ltd(sean mcgrath),2022,2022,Short (<2y),missing
markettools,2012-01-14,2012-07-09,0.48459958932238195,SingleEntrySingleExit,buyout/lbo,secondary buyout,add-on,65.0,"surveymonkey, tpg (nas: tpg)(daniel krebs), windspeed ventures",merger/acquisition,corporate divestiture,,,metrixlab(han de groot),2012,2012,Short (<2y),missing
masonite,2005-04-06,2024-03-15,18.940451745379878,SingleEntryMultipleExits,buyout/lbo,public to private,,3260.0,"brookfield oaktree holdings, centerbridge partners, kohlberg kravis roberts (nys: kkr), mount kellett capital management",merger/acquisition,,,3900.0,owens corning (nys: oc)(brian chambers),2005,2024,Long (>7y),Q4 (large)
mattress firm,2007-01-18,2025-02-05,18.050650239561943,SingleEntryMultipleExits,buyout/lbo,management buyout,secondary buyout,450.0,"crescent capital group, neuberger berman, prospect hill growth partners(john childs)",merger/acquisition,,,5151.7,somnigroup international (nys: sgi)(scott thompson),2007,2025,Long (>7y),Q4 (large)
mercedes-benz of west chester,2021-12-09,2022-05-05,0.4024640657084189,SingleEntryMultipleExits,buyout/lbo,add-on,corporate divestiture,,"hudson automotive, redwood holdings",merger/acquisition,corporate divestiture,,20.5,piazza auto group,2021,2022,Short (<2y),Q1 (small)
monarch machine tool,2003-10-08,2022-07-01,18.729637234770706,SingleEntrySingleExit,buyout/lbo,public to private,,3.5,advantage capital(scott murphy),merger/acquisition,,,,,2003,2022,Long (>7y),missing
mwa intelligence,2006-05-01,2024-06-24,18.1492128678987,SingleEntryMultipleExits,buyout/lbo,management buyout,,10.0,"greyrock capital group(stephen etter), opus acquisitions group(kevin sample)",merger/acquisition,corporate divestiture,,,avaniko technologies(gary shergill),2006,2024,Long (>7y),missing
nevotek,2003-12-20,2023-11-01,19.865845311430526,SingleEntrySingleExit,buyout/lbo,,,3.0,is girisim sermayesi yatirim ortakligi(ece başkesen),merger/acquisition,,,,gaat,2003,2023,Long (>7y),missing
nutrasweet,2000-03-28,2018-07-03,18.26420260095825,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,440.0,prospect hill growth partners(tim healy),merger/acquisition,,,,manus bio,2000,2018,Long (>7y),missing
oak ridge waste & recycling,2024-03-31,2024-07-15,0.29021218343600275,SingleEntryMultipleExits,buyout/lbo,add-on,,,"ares management (nys: ares)(natasha li), interstate waste services(michael dibella), o-corp investments, prophet equity",merger/acquisition,,,,waste management (nys: wm),2024,2024,Short (<2y),missing
opp liquidating,2004-03-01,2019-09-13,15.534565366187543,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,24.6,taglich private equity(douglas hailey),merger/acquisition,,,234.25,cascades (paper containers & packaging) (tse: cas)(mario plourde),2004,2019,Long (>7y),Q2
oscar mayer foods,2000-01-01,2016-03-01,16.164271047227928,SingleEntrySingleExit,buyout/lbo,secondary buyout,public to private,,"campofrio food group, torreal",merger/acquisition,,,,,2000,2016,Long (>7y),missing
palace entertainment,2007-08-24,2025-05-27,17.75770020533881,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,add-on,330.0,"arle capital partners, candover investments(marek gumienny), parques reunidos(richard golding)",merger/acquisition,,,,herschend(andrew wexler),2007,2025,Long (>7y),missing
